#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2     1.19989     1.19994 3.95859e-05
           3     1.19955     1.19981  0.00010979
           4     1.19899     1.19961 0.000195666
           5     1.19821     1.19933  0.00029478
           6     1.19721     1.19898 0.000405528
           7     1.19598     1.19855 0.000526755
           8     1.19454     1.19805 0.000657579
           9     1.19287     1.19747 0.000797292
          10     1.19098     1.19682 0.000945307
          11     1.18888      1.1961  0.00110113
          12     1.18656     1.19531  0.00126432
          13     1.18402     1.19444  0.00143447
          14     1.18127      1.1935  0.00161119
          15      1.1783     1.19248  0.00179419
          16     1.17512      1.1914  0.00198317
          17     1.17174     1.19024  0.00217785
          18     1.16814     1.18901  0.00237791
          19     1.16434     1.18772  0.00258314
          20     1.16033     1.18635  0.00279339
          21     1.15612     1.18491  0.00300847
          22      1.1517      1.1834  0.00322818
          23     1.14709     1.18182  0.00345234
          24     1.14227     1.18017   0.0036808
          25     1.13726     1.17845  0.00391338
          26     1.13205     1.17667  0.00414995
          27     1.12665     1.17482  0.00439034
          28     1.12106      1.1729  0.00463442
          29     1.11527     1.17091  0.00488205
          30      1.1093     1.16886  0.00513309
          31     1.10315     1.16674   0.0053874
          32     1.09681     1.16455  0.00564487
          33     1.09029      1.1623  0.00590535
          34     1.08359     1.15999  0.00616875
          35     1.07672     1.15761  0.00643494
          36     1.06967     1.15516  0.00670385
          37     1.06244     1.15266  0.00697537
          38     1.05505     1.15009  0.00724937
          39     1.04749     1.14746  0.00752574
          40     1.03976     1.14477  0.00780435
          41     1.03188     1.14201   0.0080851
          42     1.02384      1.1392  0.00836786
          43     1.01565     1.13633  0.00865253
          44      1.0073     1.13339  0.00893898
          45     0.99881      1.1304   0.0092271
          46    0.990173     1.12735  0.00951678
          47    0.981394     1.12425  0.00980792
          48    0.972478     1.12109   0.0101004
          49    0.963427     1.11787   0.0103941
          50    0.954247      1.1146    0.010689
          51    0.944941     1.11127   0.0109849
          52    0.935515     1.10789   0.0112816
          53    0.925971     1.10446   0.0115792
          54    0.916316     1.10097   0.0118773
          55    0.906552     1.09744   0.0121761
          56    0.896685     1.09385   0.0124752
          57     0.88672     1.09022   0.0127747
          58    0.876663     1.08654   0.0130743
          59    0.866517     1.08281   0.0133739
          60    0.856289     1.07903   0.0136735
          61    0.845982     1.07521   0.0139729
          62    0.835604     1.07135    0.014272
          63    0.825159     1.06744   0.0145706
          64    0.814653     1.06349   0.0148687
          65    0.804093      1.0595   0.0151661
          66    0.793483     1.05547   0.0154626
          67    0.782831      1.0514   0.0157581
          68    0.772141     1.04729   0.0160526
          69    0.761421     1.04315   0.0163459
          70    0.750676     1.03897   0.0166378
          71    0.739912     1.03476   0.0169283
          72    0.729137     1.03052   0.0172171
