#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.8         0.8           0
           2    0.799925    0.799963 2.63906e-05
           3    0.799702    0.799876 7.31932e-05
           4    0.799329    0.799739 0.000130444
           5    0.798808    0.799553  0.00019652
           6    0.798139    0.799317 0.000270352
           7    0.797322    0.799032  0.00035117
           8    0.796358    0.798698 0.000438386
           9    0.795247    0.798315 0.000531528
          10     0.79399    0.797882 0.000630205
          11    0.792587    0.797401 0.000734085
          12    0.791039    0.796871 0.000842882
          13    0.789347    0.796292 0.000956316
          14    0.787512    0.795665  0.00107413
          15    0.785535    0.794989  0.00119613
          16    0.783416    0.794266  0.00132212
          17    0.781157    0.793495   0.0014519
          18    0.778761    0.792676  0.00158527
          19    0.776227    0.791811   0.0017221
          20    0.773554    0.790898  0.00186226
          21    0.770746    0.789938  0.00200565
          22    0.767802    0.788932  0.00215212
          23    0.764725    0.787879  0.00230156
          24    0.761514    0.786781  0.00245387
          25    0.758173    0.785637  0.00260892
          26    0.754701    0.784447  0.00276663
          27      0.7511    0.783212  0.00292689
          28    0.747371    0.781932  0.00308961
          29    0.743515    0.780607   0.0032547
          30    0.739535    0.779238  0.00342206
          31    0.735432    0.777825   0.0035916
          32    0.731206    0.776368  0.00376324
          33     0.72686    0.774868   0.0039369
          34    0.722395    0.773324   0.0041125
          35    0.717812    0.771738  0.00428996
          36     0.71311     0.77011  0.00446923
          37    0.708294    0.768439  0.00465024
          38    0.703364    0.766727  0.00483291
          39    0.698325    0.764973  0.00501716
          40    0.693176    0.763178   0.0052029
          41    0.687921    0.761342  0.00539006
          42    0.682561    0.759466  0.00557857
          43    0.677097    0.757551  0.00576835
          44    0.671534    0.755596  0.00595932
          45    0.665873    0.753602   0.0061514
          46    0.660115     0.75157  0.00634452
          47    0.654263    0.749499  0.00653861
          48    0.648319    0.747392   0.0067336
          49    0.642285    0.745247  0.00692942
          50    0.636164    0.743065    0.007126
          51    0.629961    0.740847  0.00732324
          52    0.623677    0.738594  0.00752108
          53    0.617314    0.736306  0.00771943
          54    0.610877    0.733983  0.00791823
          55    0.604368    0.731626  0.00811738
          56     0.59779    0.729236  0.00831681
          57    0.591147    0.726814  0.00851644
          58    0.584442    0.724359  0.00871618
          59    0.577678    0.721873  0.00891596
          60    0.570859    0.719356  0.00911569
          61    0.563988    0.716809  0.00931529
          62    0.557069    0.714232  0.00951468
          63    0.550106    0.711627  0.00971376
          64    0.543102    0.708994  0.00991247
          65    0.536062    0.706334   0.0101107
          66    0.528989    0.703647   0.0103084
          67    0.521887    0.700934   0.0105054
          68    0.514761    0.698196   0.0107017
          69    0.507614    0.695434   0.0108973
          70     0.50045    0.692648   0.0110919
          71    0.493275     0.68984   0.0112855
          72    0.486092     0.68701   0.0114781
          73    0.478905     0.68416   0.0116695
          74    0.471719    0.681289   0.0118597
          75    0.464538    0.678399   0.0120485
          76    0.457367    0.675491    0.012236
          77     0.45021    0.672565   0.0124219
          78    0.443071    0.669623   0.0126063
          79    0.435956    0.666665    0.012789
          80    0.428869    0.663692     0.01297
          81    0.421815    0.660706   0.0131491
          82    0.414797    0.657707   0.0133263
